month,stop_id,stop_name,boardings,alightings
2023-05,184,Rose & Water,57,548
2023-05,210,Burdick & North,7,13
2023-05,260,North & N. Park,30,121
2023-05,261,North & Westnedge,89,208
2023-05,262,North & Simpson,34,160
2023-05,263,North & Woodward,4,106
2023-05,264,North St & Hawley street,39,272
2023-05,295,North & Stewart/Hawley,281,43
2023-05,296,North & Woodward,44,20
2023-05,297,North & Simpson,109,17
2023-05,298,North & Westnedge,76,132
2023-05,299,Ransom & Church,41,233
2023-05,300,Ransom & N. Rose,2,11
2023-05,515,Rose & Vine,6,6
2023-05,516,Rose & Walnut,1,1
2023-05,517,Rose & South,81,156
2023-05,518,Walnut & Burdick,235,456
2023-05,562,Walnut & Burdick,481,172
2023-05,563,Kalamazoo & Greenwich,78,19
2023-05,564,Kalamazoo & Elm,76,134
2023-05,565,Kalamazoo & Stuart,146,98
2023-05,605,W. Main & Catherine,57,82
2023-05,606,W. Main & RR Tracks,118,150
2023-05,607,North & Park,1,13
2023-05,628,Lovell & Westnedge,179,130
2023-05,629,Lovell & Oak,78,187
2023-05,630,Lovell & Davis,73,107
2023-05,640,South & Oak,261,71
2023-05,641,South & Westnedge,16,88
2023-05,776,Portage at South (NW Corner),69,20
2023-05,785,Oakland & Academy,2,20
2023-05,788,Ransom & N. Park,637,701
2023-05,799,Rose & Walnut,1,4
2023-05,1004,Kalamazoo Transit Center,49936,45938
2023-05,1011,Kalamazoo Transit Center,2388,2395
2023-05,1062,E. Michigan & S. Pitcher,107,90
2023-05,1067,W. Michigan & Academy,18,40
2023-05,1079,Rose St & Butler,2,101
2023-05,1082,S Rose St & Vine,5,19
2023-05,1084,Lovell & S. Burdick,5,35
2023-06,1,Rose at Water (NW Corner),2983,2765
2023-06,2,Rose at Michigan (SW side),246,94
2023-06,3,Rose at South (SW Corner),147,147
2023-06,4,Lovell at St. Johns (NE Corner),24,10
2023-06,5,Westnedge at Lovell (SW side),209,98
2023-06,6,Westnedge at Walnut (NW corner),144,92
2023-06,7,Westnedge at Vine (NW Corner),588,531
